"","P5_z","P5th","P5zh","P8_f","P8_u","P8_v","P8_z","P8zh","P850","P_f","P_u","P_v","P_z","Rhum","Shum","clazz"
"2176",-0.79,17.86,-0.605,-0.614,0.385,0.225,-0.218,-0.29,0.918,-1.389,0.986,0.33,-0.162,-0.212,0.968,1
"295",0.84,66.01,-0.605,-0.287,-0.12,0.89,1.591,-1.132,-1.251,-0.479,0.178,0.917,2.02,0.873,0.844,1
"6895",1.28,79.87,-0.605,-0.45,0.575,-0.365,1.125,0.552,-0.548,0.512,-0.488,-1.39,0.185,1.081,-0.891,1
"2421",0.707,90.01,0.752,0.204,0.575,-1.177,1.229,0.973,-1.052,-0.281,0.026,-0.941,-1.466,-2.083,-0.666,1
"4580",-1.715,91.29,0.299,-0.532,0.449,0.299,-1.252,-0.29,0.444,-0.789,0.113,0.187,0.03,0.988,-0.247,1
"1681",0.619,150.57,0.299,-0.696,-0.057,0.521,0.505,-0.711,0.475,-1.043,0.833,0.713,-0.125,-0.328,0.801,1
"3267",-1.098,311.02,-0.153,-0.205,-0.183,0.963,-0.89,-0.711,-1.189,-1.236,0.708,0.534,0.416,-1.09,1.193,1
"2226",-1.01,83.84,0.299,0.368,1.081,0.373,-0.683,-0.29,0.093,-0.484,1.672,0.585,0.363,0.873,1.46,1
"5782",0.311,90.73,0.299,-0.368,0.638,0.078,0.402,-0.29,0.505,-0.423,0.102,0.958,-0.084,0.226,-0.632,1
"4668",-0.834,100.5,0.299,-0.696,-0.373,-0.66,-0.063,0.552,1.101,0.218,-0.405,-1.007,0.339,1.335,-0.213,1
"6315",0.531,84.87,-0.153,1.677,2.155,0.447,0.299,-0.29,-0.365,-0.942,1.332,0.432,1.095,-1.067,-0.169,1
"7443",2.293,92.98,0.752,-0.778,-0.12,-0.734,-0.373,0.973,0.398,0.904,-0.976,-1.023,-2.524,-2.129,-1.471,1
"6279",0.135,87.55,-0.153,0.041,0.765,-0.882,-0.115,0.973,0.169,0.736,-0.831,-1.089,-1.133,-0.79,-1.606,1
"7416",-0.438,80.93,-1.058,0.614,1.144,-1.103,1.849,1.394,-0.594,1.453,-0.904,-2.12,-0.202,0.665,-1.21,1
"1295",0.355,331.28,-0.605,-0.614,-0.183,0.521,-1.51,-0.29,0.612,-1.038,0.993,0.682,-0.767,-0.559,0.662,1
"2946",1.456,88.3,0.299,-0.45,0.322,-0.808,1.177,0.552,0.261,-0.992,0.826,-0.655,-0.027,-0.351,0.252,1
"3207",-0.085,94.65,0.299,-0.205,0.701,0.225,-1.045,-0.711,0.093,-0.535,0.925,1.218,-0.111,-1.113,0.058,1
"5327",0.267,91.57,0.299,-1.105,-0.247,-0.439,-1.097,0.552,-0.151,0.751,-0.999,-0.548,-0.158,0.758,-1.161,1
"909",-0.658,62.85,-0.153,1.105,1.333,1.259,-1.148,-1.132,-0.289,-0.367,1.523,1.07,0.262,0.434,1.46,1
"970",0.443,90,0.299,2.005,2.218,1.111,-0.218,-1.132,-1.113,-0.204,1.74,0.891,0.561,0.065,0.676,1
